index,simplified,traditional,pinyin,definition,examples,hsk_level,traditional_variants,radical_index,pinyin2,pinyin3,numbered_pinyin,numbered_pinyin2,numbered_pinyin3
39,去,去,qù,"[""to go"",""to go to"",""last""]","[{""chinese"":""出去！"",""english"":""Get out!""},{""chinese"":""还回去"",""english"":""Give it back.""},{""chinese"":""去露台。"",""english"":""Go to the patio.""}]",1,,28,,,qu4,,
40,能,能,néng,"[""can"",""may"",""capable"",""full of energy""]","[{""chinese"":""不可能！"",""english"":""No way!""},{""chinese"":""不可能！"",""english"":""It can't be!""},{""chinese"":""你能跑。"",""english"":""You could run.""}]",1,,74,,,neng2,,
41,两,兩,liǎng,"[""two"",""both"",""pair"",""couple"",""ounce""]","[{""chinese"":""我有两辆车。"",""english"":""I have two cars.""},{""chinese"":""我有两只猫。"",""english"":""I have two cats.""},{""chinese"":""人有两只脚。"",""english"":""People have two legs.""}]",1,,1,,,liang3,,
42,下,下,xià,"[""below"",""underneath"",""inferior"",""to bring down"",""next""]","[{""chinese"":""趴下！"",""english"":""Get down!""},{""chinese"":""等一下！"",""english"":""Wait!""},{""chinese"":""等一下！"",""english"":""Hang on!""}]",1,,1,,,xia4,,
43,做,做,zuò,"[""to make"",""to produce"",""to write""]","[{""chinese"":""做得好！"",""english"":""Good job!""},{""chinese"":""做得好！"",""english"":""Well done!""},{""chinese"":""你做吗?"",""english"":""Have you done it?""}]",1,,9,,,zuo4,,
44,等,等,děng,"[""rank"",""grade"",""same"",""equal"",""to wait""]","[{""chinese"":""等等！"",""english"":""Wait!""},{""chinese"":""等一下！"",""english"":""Hang on!""},{""chinese"":""等等我。"",""english"":""Wait for me.""}]",1,,118,,,deng3,,
45,三,三,sān,"[""three"",""3""]","[{""chinese"":""我三十歲。"",""english"":""I'm thirty.""},{""chinese"":""数到三十。"",""english"":""Count to thirty.""},{""chinese"":""我三十歲。"",""english"":""I'm 30 years old.""}]",1,,1,,,san1,,
46,里,里,lǐ,"[""li, ancient measure of length, approx. 500 m"",""neighborhood"",""ancient administrative unit of 25 families""]","[{""chinese"":""看那里。"",""english"":""Look there.""},{""chinese"":""这里有人"",""english"":""Somebody's in here.""},{""chinese"":""你在这里。"",""english"":""You're here.""}]",1,"[""裡""]",166,,,li3,,
47,过,過,guò,"[""pass"",""to go across"",""to pass through""]","[{""chinese"":""转过来。"",""english"":""Turn around.""},{""chinese"":""我很难过。"",""english"":""I'm sad.""},{""chinese"":""她试过了。"",""english"":""She tried.""}]",1,,162,,,guo4,,
48,那,那,nà,"[""many"",""beautiful"",""how""]","[{""chinese"":""看那里。"",""english"":""Look there.""},{""chinese"":""那很棒。"",""english"":""That's neat.""},{""chinese"":""那是谁？"",""english"":""Who is that?""}]",1,,170,,,na4,,
49,后,後,hòu,"[""after"",""behind"",""rear"",""descendants""]","[{""chinese"":""后退！"",""english"":""Back off!""},{""chinese"":""往后站！"",""english"":""Stand back!""},{""chinese"":""后天见。"",""english"":""See you in two days.""}]",1,"[""后""]",30,,,hou4,,
50,想,想,xiǎng,"[""to believe"",""to wish for"",""to consider"",""to plan"",""to think""]","[{""chinese"":""我想死"",""english"":""I want to die.""},{""chinese"":""我想你。"",""english"":""I miss you.""},{""chinese"":""我想你。"",""english"":""I missed you.""}]",1,,61,,,xiang3,,
51,地,地,de,"[""earth"",""ground"",""soil"",""land"",""region"",""structural particle used before a verb""]","[{""chinese"":""拼命地跑"",""english"":""Run like your life depends on it.""},{""chinese"":""趴在地上!"",""english"":""Get down on the floor!""},{""chinese"":""我怕地震。"",""english"":""I'm afraid of earthquakes.""}]",1,,32,,,de,,
52,用,用,yòng,"[""to use"",""to employ"",""to apply"",""use""]","[{""chinese"":""请用座。"",""english"":""Please sit.""},{""chinese"":""有用嗎？"",""english"":""Did it help?""},{""chinese"":""你用跑的。"",""english"":""Run.""}]",1,,101,,,yong4,,
53,出,出,chū,"[""to go out"",""to send out"",""stand"",""produce""]","[{""chinese"":""出去！"",""english"":""Get out!""},{""chinese"":""我退出。"",""english"":""I quit.""},{""chinese"":""我不出名。"",""english"":""I'm not famous.""}]",1,,17,,,chu1,,
54,现,現,xiàn,"[""to appear"",""to manifest"",""current"",""now""]","[{""chinese"":""现实点！"",""english"":""Be realistic!""},{""chinese"":""现实点！"",""english"":""Be realistic.""},{""chinese"":""现在几点？"",""english"":""What time is it?""}]",1,,96,,,xian4,,
55,次,次,cì,"[""order"",""sequence"",""second"",""next"",""one after the other""]","[{""chinese"":""再一次。"",""english"":""Once again.""},{""chinese"":""再試一次。"",""english"":""Try again.""},{""chinese"":""再試一次。"",""english"":""Try it again.""}]",1,,76,,,ci4,,
56,最,最,zuì,"[""most"",""extremely"",""exceedingly"",""superlative""]","[{""chinese"":""你最好去。"",""english"":""You should go.""},{""chinese"":""你最好走。"",""english"":""You'd better go.""},{""chinese"":""我是最好的。"",""english"":""I'm the best.""}]",1,,73,,,zui4,,
57,什,什,shén,"[""ten"",""assorted"",""miscellaneous""]","[{""chinese"":""为什么不？"",""english"":""Why not?""},{""chinese"":""它是什么？"",""english"":""What is it?""},{""chinese"":""愛是什麼？"",""english"":""What's love?""}]",1,,9,,,shen2,,
58,么,麼,me,"[""interrogative particle""]","[{""chinese"":""懂么？"",""english"":""Do you get it?""},{""chinese"":""怎么了？"",""english"":""What's happened?""},{""chinese"":""怎么了？"",""english"":""What's the matter?""}]",1,,4,,,me,,
59,小,小,xiǎo,"[""small"",""tiny"",""few""]","[{""chinese"":""小心!"",""english"":""Be careful!""},{""chinese"":""小心狗！"",""english"":""Beware of the dog!""},{""chinese"":""小孩哭了。"",""english"":""The child cried.""}]",1,,42,,,xiao3,,
60,月,月,yuè,"[""moon"",""month"",""monthly""]","[{""chinese"":""月光真美。"",""english"":""The moonlight is beautiful.""},{""chinese"":""月光真美。"",""english"":""The moonlight is really beautiful.""},{""chinese"":""昨晚是满月。"",""english"":""The moon was full last night.""}]",1,,74,,,yue4,,
61,天,天,tiān,"[""sky"",""heaven"",""god"",""celestial""]","[{""chinese"":""春天了"",""english"":""It's spring.""},{""chinese"":""天很冷。"",""english"":""It's cold.""},{""chinese"":""看天上。"",""english"":""Look at the sky.""}]",1,,37,,,tian1,,
62,工,工,gōng,"[""labor"",""work"",""laborer"",""worker""]","[{""chinese"":""有罢工。"",""english"":""There is a strike.""},{""chinese"":""開始工作。"",""english"":""Begin work.""},{""chinese"":""繼續工作！"",""english"":""Keep working.""}]",1,,48,,,gong1,,
63,作,作,zuò,"[""to make"",""to write"",""to compose"",""to act"",""to perform""]","[{""chinese"":""開始工作。"",""english"":""Begin work.""},{""chinese"":""你作弊了。"",""english"":""You cheated.""},{""chinese"":""繼續工作！"",""english"":""Keep working.""}]",1,,9,,,zuo4,,
64,家,家,jiā,"[""house"",""home"",""residence"",""family""]","[{""chinese"":""回家。"",""english"":""Go home.""},{""chinese"":""回家吧。"",""english"":""Come home.""},{""chinese"":""回家吧。"",""english"":""Go on home.""}]",1,,40,,,jia1,,
65,再,再,zài,"[""again"",""once more"",""re-""]","[{""chinese"":""再见！"",""english"":""Goodbye!""},{""chinese"":""再见！"",""english"":""See you.""},{""chinese"":""再见！"",""english"":""See you again.""}]",1,,13,,,zai4,,
66,时,時,shí,"[""time"",""season"",""period"",""era"",""age""]","[{""chinese"":""要守时！"",""english"":""Be on time.""},{""chinese"":""要守时！"",""english"":""Be punctual.""},{""chinese"":""好时机。"",""english"":""Nice timing.""}]",1,,72,,,shi2,,
67,间,間,jiān,"[""between"",""among"",""midpoint"",""space"",""place"",""locality""]","[{""chinese"":""时间到了。"",""english"":""Time's up.""},{""chinese"":""我有时间。"",""english"":""I have time.""},{""chinese"":""我有时间。"",""english"":""I've got time.""}]",1,,169,,,jian1,,
68,前,前,qián,"[""in front"",""forward"",""former"",""preceding""]","[{""chinese"":""往前开。"",""english"":""Drive on.""},{""chinese"":""繼續前進。"",""english"":""Move on.""},{""chinese"":""多久以前？"",""english"":""How long ago was that?""}]",1,,18,,,qian2,,
69,新,新,xīn,"[""new"",""recent"",""fresh"",""modern""]","[{""chinese"":""新年快樂！"",""english"":""Happy New Year!""},{""chinese"":""我是新來的。"",""english"":""I'm new here.""},{""chinese"":""重新告訴我。"",""english"":""Tell me again.""}]",1,,69,,,xin1,,
70,候,候,hòu,"[""to wait"",""to expect"",""to visit"",""to greet""]","[{""chinese"":""到時候見。"",""english"":""See you then.""},{""chinese"":""他問候了你。"",""english"":""He asked after you.""},{""chinese"":""請在綫稍候。"",""english"":""Please hold the line a moment.""}]",1,,9,,,hou4,,
71,些,些,xiē,"[""little"",""few"",""rather"",""somewhat""]","[{""chinese"":""這些是筆。"",""english"":""These are pens.""},{""chinese"":""更清晰些。"",""english"":""Be more precise.""},{""chinese"":""我有些事。"",""english"":""I have things to take care of.""}]",1,,7,,,xie1,,
72,比,比,bǐ,"[""to compare"",""liken"",""comparison"",""than""]","[{""chinese"":""他比我高。"",""english"":""He's taller than me.""},{""chinese"":""我比你高。"",""english"":""I'm taller than you.""},{""chinese"":""我比你矮。"",""english"":""I'm shorter than you.""}]",1,,81,,,bi3,,
73,走,走,zǒu,"[""to walk"",""to go"",""to run""]","[{""chinese"":""走開！"",""english"":""Go away!""},{""chinese"":""走開！"",""english"":""Go away.""},{""chinese"":""走開！"",""english"":""Get away!""}]",1,,156,,,zou3,,
74,太,太,tài,"[""very"",""too much"",""big"",""extreme""]","[{""chinese"":""太棒了"",""english"":""Awesome.""},{""chinese"":""太难了。"",""english"":""It's so hard.""},{""chinese"":""太熱了。"",""english"":""It's too hot.""}]",1,,37,,,tai4,,
75,找,找,zhǎo,"[""to search for"",""to look for"",""to find"",""change (as in money)""]","[{""chinese"":""找到汤姆。"",""english"":""Get Tom.""},{""chinese"":""这是找零。"",""english"":""Here's the change.""},{""chinese"":""我在找你。"",""english"":""I'm looking for you.""}]",1,,64,,,zhao3,,
76,四,四,sì,"[""four"",""4""]","[{""chinese"":""四处看看。"",""english"":""Look around.""},{""chinese"":""四個人用餐。"",""english"":""A table for four, please.""},{""chinese"":""一年有四季。"",""english"":""There are four seasons in one year.""}]",1,,31,,,si4,,
77,几,幾,jǐ,"[""small table"",""how many"",""a few"",""some""]","[{""chinese"":""几点了？"",""english"":""What time is it?""},{""chinese"":""这个几块？"",""english"":""How much is it?""},{""chinese"":""现在几点？"",""english"":""What's the time?""}]",1,"[""几""]",16,,,ji3,,
78,本,本,běn,"[""root"",""origin"",""source"",""basis""]","[{""chinese"":""看这本书。"",""english"":""Read this book.""},{""chinese"":""这本书小。"",""english"":""This book is small.""},{""chinese"":""拿本书读！"",""english"":""Take a book and read it.""}]",1,,75,,,ben3,,
79,打,打,dǎ,"[""to attack"",""to beat"",""to hit"",""to strike""]","[{""chinese"":""開打。"",""english"":""Fight.""},{""chinese"":""別打開。"",""english"":""Don't open that.""},{""chinese"":""去打汤姆。"",""english"":""Hit Tom.""}]",1,,64,,,da3,,
80,呢,呢,né,"[""wool"",""interrogative or emphatic final particle""]","[{""chinese"":""您呢？"",""english"":""How about you?""},{""chinese"":""您呢？"",""english"":""What about you?""},{""chinese"":""還早呢。"",""english"":""It's still early.""}]",1,,30,ne,,ne2,ne,
81,事,事,shì,"[""affair"",""matter"",""business"",""to serve"",""accident"",""incident""]","[{""chinese"":""没事。"",""english"":""No problem.""},{""chinese"":""我沒事。"",""english"":""I'm OK.""},{""chinese"":""我沒事。"",""english"":""I am okay.""}]",1,,6,,,shi4,,
82,起,起,qǐ,"[""to begin"",""to initiate"",""to rise"",""to stand up""]","[{""chinese"":""起立。"",""english"":""Stand up.""},{""chinese"":""起床!"",""english"":""Get out of bed!""},{""chinese"":""对不起。"",""english"":""Excuse me.""}]",1,,156,,,qi3,,
83,车,車,chē,"[""war chariot"",""rook"",""rook""]","[{""chinese"":""上车吧！"",""english"":""Get in the car.""},{""chinese"":""开车慢点。"",""english"":""Drive slowly.""},{""chinese"":""他有辆车。"",""english"":""He has a car.""}]",1,,159,,,che1,,
84,非,非,fēi,"[""not"",""negative"",""non-"",""to oppose""]","[{""chinese"":""非常冷。"",""english"":""It's very cold.""},{""chinese"":""非常感谢！"",""english"":""Many thanks.""},{""chinese"":""我非常困。"",""english"":""I'm very sleepy.""}]",1,,175,,,fei1,,
85,常,常,cháng,"[""common"",""general"",""normal"",""always"",""frequently"",""regularly""]","[{""chinese"":""非常冷。"",""english"":""It's very cold.""},{""chinese"":""非常感谢！"",""english"":""Many thanks.""},{""chinese"":""我非常困。"",""english"":""I'm very sleepy.""}]",1,,50,,,chang2,,
86,知,知,zhī,"[""to know"",""to perceive"",""to comprehend""]","[{""chinese"":""我知道。"",""english"":""I know.""},{""chinese"":""谁知道？"",""english"":""Who knows?""},{""chinese"":""我们知道。"",""english"":""We know.""}]",1,,111,,,zhi1,,
87,道,道,dào,"[""method"",""way"",""path"",""road""]","[{""chinese"":""我知道。"",""english"":""I know.""},{""chinese"":""谁知道？"",""english"":""Who knows?""},{""chinese"":""我们知道。"",""english"":""We know.""}]",1,,162,,,dao4,,
88,手,手,shǒu,"[""hand"",""to hold"",""person engaged in certain types of work""]","[{""chinese"":""住手！"",""english"":""Stop!""},{""chinese"":""住手。"",""english"":""Stop that!""},{""chinese"":""停手！"",""english"":""Break it up!""}]",1,,64,,,shou3,,
89,今,今,jīn,"[""modern"",""current"",""today"",""now""]","[{""chinese"":""今晚見。"",""english"":""See you tonight.""},{""chinese"":""我今天忙。"",""english"":""I'm busy today.""},{""chinese"":""我今天忙。"",""english"":""I am busy today.""}]",1,,9,,,jin1,,
90,五,五,wǔ,"[""five"",""5""]","[{""chinese"":""終於星期五了。"",""english"":""Finally, it's Friday.""},{""chinese"":""再给我五分钟。"",""english"":""Give me five more minutes.""},{""chinese"":""她下五樓去了。"",""english"":""She went down to the fifth floor.""}]",1,,7,,,wu3,,
91,二,二,èr,"[""two"",""2"",""stupid""]","[{""chinese"":""你二了。"",""english"":""You're stupid.""},{""chinese"":""我十二岁了。"",""english"":""I'm twelve.""},{""chinese"":""第二课容易。"",""english"":""Lesson Two is easy.""}]",1,,7,,,er4,,
92,吗,嗎,ma,"[""final interrogative particle""]","[{""chinese"":""懂了吗？"",""english"":""Got it?""},{""chinese"":""是你吗？"",""english"":""Is it you?""},{""chinese"":""他对吗？"",""english"":""Is he right?""}]",1,,30,,,ma,,
93,真,真,zhēn,"[""real"",""actual"",""true"",""genuine""]","[{""chinese"":""真的？"",""english"":""Really?""},{""chinese"":""真的？"",""english"":""Seriously?""},{""chinese"":""真的？"",""english"":""No kidding?""}]",1,,109,,,zhen1,,
94,跟,跟,gēn,"[""heel"",""to accompany"",""to follow"",""with""]","[{""chinese"":""跟我走。"",""english"":""Follow me.""},{""chinese"":""跟我走。"",""english"":""Come with me.""},{""chinese"":""跟著他走。"",""english"":""Follow him.""}]",1,,157,,,gen1,,
95,孩,孩,hái,"[""baby"",""child"",""children""]","[{""chinese"":""小孩哭了。"",""english"":""The child cried.""},{""chinese"":""她愛孩子。"",""english"":""She loves children.""},{""chinese"":""我們是男孩。"",""english"":""We're boys.""}]",1,,39,,,hai2,,
96,子,子,zi,"[""son"",""child"",""seed"",""egg"",""fruit"",""small thing""]","[{""chinese"":""照镜子。"",""english"":""Look in the mirror.""},{""chinese"":""我个子高。"",""english"":""I'm tall.""},{""chinese"":""我个子高。"",""english"":""I am tall.""}]",1,,39,,,zi,,
97,高,高,gāo,"[""tall"",""lofty"",""high"",""elevated""]","[{""chinese"":""他高。"",""english"":""He is tall.""},{""chinese"":""他很高。"",""english"":""He is very tall.""},{""chinese"":""价格高。"",""english"":""Prices are high.""}]",1,,189,,,gao1,,
98,日,日,rì,"[""sun"",""day"",""date, day of the month""]","[{""chinese"":""谁的生日？"",""english"":""Whose birthday is it?""},{""chinese"":""我是日本人。"",""english"":""I am Japanese.""},{""chinese"":""日本在亚洲。"",""english"":""Japan is in Asia.""}]",1,,72,,,ri4,,
99,觉,覺,jué,"[""conscious"",""to nap"",""to sleep"",""to wake up""]","[{""chinese"":""我觉得冷。"",""english"":""I feel cold.""},{""chinese"":""我觉得很热。"",""english"":""I'm hot.""},{""chinese"":""我感觉很好。"",""english"":""I feel fine.""}]",1,,147,,,jue2,,
100,得,得,dé,"[""to obtain"",""to get"",""to acquire"",""suitable"",""proper"",""ready""]","[{""chinese"":""做得好！"",""english"":""Good job!""},{""chinese"":""做得好！"",""english"":""Well done!""},{""chinese"":""玩得開心。"",""english"":""Have fun.""}]",1,,60,,,de2,,
101,吧,吧,bā,"[""smack!""]","[{""chinese"":""走吧。"",""english"":""Let's go!""},{""chinese"":""走吧。"",""english"":""Let's leave.""},{""chinese"":""不会吧。"",""english"":""Oh no!""}]",1,,30,,,ba1,,
102,话,話,huà,"[""talk"",""speech"",""language"",""dialect""]","[{""chinese"":""屁话！"",""english"":""Nonsense!""},{""chinese"":""接电话。"",""english"":""Answer the phone.""},{""chinese"":""接电话。"",""english"":""Pick up the phone.""}]",1,,149,,,hua4,,
103,钱,錢,qián,"[""coin"",""money"",""CL:筆|笔""]","[{""chinese"":""我有钱。"",""english"":""I have money.""},{""chinese"":""金钱万能。"",""english"":""Money talks.""},{""chinese"":""我没钱了。"",""english"":""I have no money.""}]",1,,167,,,qian2,,
