index,simplified,traditional,traditionalVariants,pinyin,pinyin2,pinyin3,numberedPinyin,numberedPinyin2,numberedPinyin3,radicalIndex,hskLevel,lesson,definition,examples,wordExamples
10,和,和,,hé,huò,,he2,huo4,,30,1,,harmony | peace | and | with | peaceful | warm,"[{""chinese"": ""我和你一起去。"", ""english"": ""I'll go with you.""}, {""chinese"": ""天气很暖和。"", ""english"": ""The weather is very warm.""}, {""chinese"": ""他性格很和气。"", ""english"": ""He has a peaceful and gentle temperament.""}]","[{""word"": ""和平"", ""pinyin"": ""hépíng"", ""meaning"": ""peace""}, {""word"": ""和气"", ""pinyin"": ""héqi"", ""meaning"": ""gentle | peaceful""}, {""word"": ""温和"", ""pinyin"": ""wēnhé"", ""meaning"": ""mild | moderate""}]"
11,不,不,,bù,,,bu4,,,1,1,,not | no | un- | negative prefix,"[{""chinese"": ""我不喜欢这个。"", ""english"": ""I don't like this.""}, {""chinese"": ""明天不上班。"", ""english"": ""We don't have work tomorrow.""}, {""chinese"": ""这件事不太对劲。"", ""english"": ""Something about this matter doesn't seem right.""}]","[{""word"": ""不过"", ""pinyin"": ""búguò"", ""meaning"": ""but | however""}, {""word"": ""不管"", ""pinyin"": ""búguǎn"", ""meaning"": ""regardless of | no matter""}, {""word"": ""不能"", ""pinyin"": ""búnéng"", ""meaning"": ""cannot | unable to""}]"
12,就,就,,jiù,,,jiu4,,,43,1,,just | immediately | then | to go to | to approach | as soon as | only,"[{""chinese"": ""我现在就出发。"", ""english"": ""I'm leaving right now.""}, {""chinese"": ""你来了，我们就开始。"", ""english"": ""Once you arrive, we'll start.""}, {""chinese"": ""他就是最聪明的学生。"", ""english"": ""He is precisely the smartest student.""}]","[{""word"": ""就业"", ""pinyin"": ""jiùyè"", ""meaning"": ""employment | job placement""}, {""word"": ""就座"", ""pinyin"": ""jiùzuò"", ""meaning"": ""to take a seat""}, {""word"": ""就此"", ""pinyin"": ""jiùcǐ"", ""meaning"": ""thus | hereby""}]"
13,也,也,,yě,,,ye3,,,5,1,,also | too | as well | even | both ... and | particle expressing emphasis,"[{""chinese"": ""她也想来参加。"", ""english"": ""She also wants to come and participate.""}, {""chinese"": ""即使下雨，他也会去。"", ""english"": ""Even if it rains, he will still go.""}, {""chinese"": ""你不来，我也不去。"", ""english"": ""If you don't come, I won't go either.""}]","[{""word"": ""也许"", ""pinyin"": ""yěxǔ"", ""meaning"": ""perhaps | maybe""}, {""word"": ""也好"", ""pinyin"": ""yěhǎo"", ""meaning"": ""also good | might as well""}, {""word"": ""亦或"", ""pinyin"": ""yìhuò"", ""meaning"": ""or | either ... or""}]"
14,人,人,,rén,,,ren2,,,9,1,,person | people | human | classifier for people,"[{""chinese"": ""这个人很聪明。"", ""english"": ""This person is very intelligent.""}, {""chinese"": ""有三个人在开会。"", ""english"": ""There are three people in the meeting.""}, {""chinese"": ""好人总是受欢迎的。"", ""english"": ""Good people are always welcome.""}]","[{""word"": ""人民"", ""pinyin"": ""rénmín"", ""meaning"": ""the people | populace""}, {""word"": ""人生"", ""pinyin"": ""rénshēng"", ""meaning"": ""life | human life""}, {""word"": ""人工"", ""pinyin"": ""réngōng"", ""meaning"": ""manual | artificial | manpower""}]"
15,你,你,,nǐ,,,ni3,,,9,1,,you | second person pronoun,"[{""chinese"": ""你今天看起来很开心。"", ""english"": ""You look very happy today.""}, {""chinese"": ""你想喝茶吗？"", ""english"": ""Would you like to drink tea?""}, {""chinese"": ""我喜欢你的想法。"", ""english"": ""I like your idea.""}]","[{""word"": ""你们"", ""pinyin"": ""nǐmen"", ""meaning"": ""you (plural)""}, {""word"": ""你好"", ""pinyin"": ""nǐhǎo"", ""meaning"": ""hello""}, {""word"": ""你的"", ""pinyin"": ""nǐde"", ""meaning"": ""your""}]"
16,说,說,,shuō,shuì,,shuo1,shui4,,149,1,,to speak | to say | to scold | to upbraid,"[{""chinese"": ""她用英语说得很流利。"", ""english"": ""She speaks English very fluently.""}, {""chinese"": ""医生说我需要多休息。"", ""english"": ""The doctor says I need to rest more.""}, {""chinese"": ""你别说话，让我说。"", ""english"": ""Don't speak; let me talk.""}]","[{""word"": ""说话"", ""pinyin"": ""shuōhuà"", ""meaning"": ""to speak / to talk""}, {""word"": ""说法"", ""pinyin"": ""shuōfǎ"", ""meaning"": ""way of saying / viewpoint""}, {""word"": ""听说"", ""pinyin"": ""tīngshuō"", ""meaning"": ""it is said that / I hear""}]"
17,们,們,,men,,,men5,,,9,1,,"plural marker for pronouns, and nouns referring to individuals","[{""chinese"": ""老师们都很认真。"", ""english"": ""The teachers are all very serious.""}, {""chinese"": ""我们必须一起努力。"", ""english"": ""We must work hard together.""}, {""chinese"": ""他们昨天去了公园。"", ""english"": ""They went to the park yesterday.""}]","[{""word"": ""我们"", ""pinyin"": ""wǒmen"", ""meaning"": ""we / us""}, {""word"": ""他们"", ""pinyin"": ""tāmen"", ""meaning"": ""they / them""}, {""word"": ""学生们"", ""pinyin"": ""xuéshengmen"", ""meaning"": ""students (plural)""}]"
18,上,上,,shàng,shǎng,,shang4,shang3,,1,1,,above | on top | superior | to go up | to attend | previous,"[{""chinese"": ""书在桌子上面。"", ""english"": ""The book is on the table.""}, {""chinese"": ""我每天上班很早。"", ""english"": ""I go to work very early every day.""}, {""chinese"": ""上个月我去了北京。"", ""english"": ""Last month I went to Beijing.""}]","[{""word"": ""上面"", ""pinyin"": ""shàngmiàn"", ""meaning"": ""above / on top of""}, {""word"": ""上班"", ""pinyin"": ""shàngbān"", ""meaning"": ""to go to work / to be on duty""}, {""word"": ""上次"", ""pinyin"": ""shàngcì"", ""meaning"": ""last time""}]"
19,都,都,,dōu,dū,,dou1,du1,,170,1,,all / each / every / both / entirely,"[{""chinese"": ""他们都喜欢吃米饭。"", ""english"": ""They all like to eat rice.""}, {""chinese"": ""这些问题我都解决了。"", ""english"": ""I've solved all these problems.""}, {""chinese"": ""你和我都应该早点睡觉。"", ""english"": ""Both you and I should sleep earlier.""}]","[{""word"": ""都市"", ""pinyin"": ""dōushì"", ""meaning"": ""metropolis / city""}, {""word"": ""都会"", ""pinyin"": ""dōuhuì"", ""meaning"": ""metropolis / urban area""}, {""word"": ""首都"", ""pinyin"": ""shǒudū"", ""meaning"": ""capital (city)""}]"
20,对,對,,duì,,,dui4,,,41,1,,correct | right | facing | towards | in response to | to match,"[{""chinese"": ""你说得对。"", ""english"": ""What you said is correct.""}, {""chinese"": ""他们两人互相对视。"", ""english"": ""They faced each other and looked eye to eye.""}, {""chinese"": ""我对这个计划有意见。"", ""english"": ""I have objections to this plan.""}]","[{""word"": ""对不起"", ""pinyin"": ""duìbùqǐ"", ""meaning"": ""sorry / I apologize""}, {""word"": ""正对"", ""pinyin"": ""zhèngduì"", ""meaning"": ""directly facing / directly opposite""}, {""word"": ""对比"", ""pinyin"": ""duìbǐ"", ""meaning"": ""to contrast / comparison""}]"
21,要,要,,yào,yāo,,yao4,yao1,,146,1,,to want | to need | must | essential | important | to demand | to ask for,"[{""chinese"": ""我要一杯咖啡。"", ""english"": ""I want a cup of coffee.""}, {""chinese"": ""明天要下雨了。"", ""english"": ""It's going to rain tomorrow.""}, {""chinese"": ""要是你有问题，就打电话给我。"", ""english"": ""If you have any problems, call me.""}]","[{""word"": ""需要"", ""pinyin"": ""xūyào"", ""meaning"": ""to need / to require""}, {""word"": ""主要"", ""pinyin"": ""zhǔyào"", ""meaning"": ""main / principal / primary""}, {""word"": ""重要"", ""pinyin"": ""zhòngyào"", ""meaning"": ""important / significant""}]"
22,点,點,,diǎn,tiǎn,,dian3,tian3,,86,1,,point | dot | spot | drop | to order | to click | o'clock (for time),"[{""chinese"": ""我看到地图上有一个红点。"", ""english"": ""I see a red dot on the map.""}, {""chinese"": ""晚上七点见面。"", ""english"": ""Let's meet at seven o'clock in the evening.""}, {""chinese"": ""你想点什么菜？"", ""english"": ""What dishes would you like to order?""}]","[{""word"": ""一点"", ""pinyin"": ""yīdiǎn"", ""meaning"": ""a little | a bit | somewhat""}, {""word"": ""点头"", ""pinyin"": ""diǎntóu"", ""meaning"": ""to nod / to agree""}, {""word"": ""时点"", ""pinyin"": ""shídiǎn"", ""meaning"": ""o'clock / time point""}]"
23,到,到,,dào,,,dao4,,,18,1,,to arrive | to reach | to get to | until | towards,"[{""chinese"": ""飞机什么时候到达？"", ""english"": ""When will the plane arrive?""}, {""chinese"": ""我从早工作到晚。"", ""english"": ""I worked from early morning until late at night.""}, {""chinese"": ""这条路可以到山顶。"", ""english"": ""This road leads to the mountain top.""}]","[{""word"": ""到达"", ""pinyin"": ""dàodá"", ""meaning"": ""to arrive / to reach""}, {""word"": ""听到"", ""pinyin"": ""tīngdào"", ""meaning"": ""to hear""}, {""word"": ""看到"", ""pinyin"": ""kàndào"", ""meaning"": ""to see""}]"
24,多,多,,duō,duò,,duo1,duo4,,36,1,,much | many | more | most | to a greater extent | how much/many,"[{""chinese"": ""这里的书太多了。"", ""english"": ""There are so many books here.""}, {""chinese"": ""你多喝点水。"", ""english"": ""Drink more water.""}, {""chinese"": ""这个房间有多大？"", ""english"": ""How big is this room?""}]","[{""word"": ""很多"", ""pinyin"": ""hěnduō"", ""meaning"": ""a lot of / many / much""}, {""word"": ""多少"", ""pinyin"": ""duōshao"", ""meaning"": ""how much / how many""}, {""word"": ""更多"", ""pinyin"": ""gèngduō"", ""meaning"": ""more""}]"
25,会,會,,huì,kuài,,hui4,kuai4,,9,1,,to meet | to assemble | meeting | association | group | can / will (auxiliary verb),"[{""chinese"": ""他们在咖啡馆里见面会。"", ""english"": ""They had a meeting at the coffee shop.""}, {""chinese"": ""我不会说日语。"", ""english"": ""I can't speak Japanese.""}, {""chinese"": ""下个月有个重要的行业会议。"", ""english"": ""There's an important industry conference next month.""}]","[{""word"": ""会议"", ""pinyin"": ""huìyì"", ""meaning"": ""meeting | conference""}, {""word"": ""学会"", ""pinyin"": ""xuéhuì"", ""meaning"": ""to learn | to master | academic society""}, {""word"": ""会员"", ""pinyin"": ""huìyuán"", ""meaning"": ""member""}]"
26,着,著,,zhe,zháo,,zhe5,zhao2,,109,1,,aspect particle indicating ongoing action | to wear | to contact,"[{""chinese"": ""妹妹穿着漂亮的红色连衣裙。"", ""english"": ""My sister is wearing a beautiful red dress.""}, {""chinese"": ""他靠着墙站了很久。"", ""english"": ""He leaned against the wall and stood there for a long time.""}, {""chinese"": ""别急，我正在处理着这件事。"", ""english"": ""Don't rush; I'm currently handling this matter.""}]","[{""word"": ""看着"", ""pinyin"": ""kànzhe"", ""meaning"": ""to look at; watching""}, {""word"": ""穿着"", ""pinyin"": ""chuānzhe"", ""meaning"": ""to wear; clothing""}, {""word"": ""躺着"", ""pinyin"": ""tǎngzhe"", ""meaning"": ""lying down""}]"
27,来,來,,lái,,,lai2,,,75,1,,to come | to arrive | to return | in the future | later | indicating purpose or result,"[{""chinese"": ""朋友们都来参加我的生日派对。"", ""english"": ""All my friends came to my birthday party.""}, {""chinese"": ""未来几年会有很多变化。"", ""english"": ""There will be many changes in the coming years.""}, {""chinese"": ""我下午两点来接你。"", ""english"": ""I'll pick you up at two in the afternoon.""}]","[{""word"": ""来源"", ""pinyin"": ""láiyuán"", ""meaning"": ""origin | source""}, {""word"": ""未来"", ""pinyin"": ""wèilái"", ""meaning"": ""future""}, {""word"": ""来客"", ""pinyin"": ""láikè"", ""meaning"": ""visitor | guest""}]"
28,她,她,,tā,,,ta1,,,38,1,,she | her,"[{""chinese"": ""她是我最好的朋友。"", ""english"": ""She is my best friend.""}, {""chinese"": ""我给她买了一份生日礼物。"", ""english"": ""I bought her a birthday gift.""}, {""chinese"": ""她喜欢在周末去爬山。"", ""english"": ""She likes hiking on weekends.""}]","[{""word"": ""她的"", ""pinyin"": ""tāde"", ""meaning"": ""her | hers""}, {""word"": ""她们"", ""pinyin"": ""tāmen"", ""meaning"": ""they (female) | them""}]"
29,还,還,,hái,huán,,hai2,huan2,,162,1,,still | yet | also | besides | as well | to return | to repay,"[{""chinese"": ""你还要再来一杯咖啡吗？"", ""english"": ""Would you like another cup of coffee?""}, {""chinese"": ""我还没看完那部电影。"", ""english"": ""I haven't finished watching that movie yet.""}, {""chinese"": ""下个星期我得还钱给银行。"", ""english"": ""I need to repay the bank next week.""}]","[{""word"": ""还是"", ""pinyin"": ""háishi"", ""meaning"": ""still | yet | or | had better""}, {""word"": ""还有"", ""pinyin"": ""háiyǒu"", ""meaning"": ""still have | there is still""}, {""word"": ""归还"", ""pinyin"": ""guīhuán"", ""meaning"": ""to return | to give back""}]"
30,没,沒,,méi,,,mei2,,,85,1,,not | none | gone | to bury | to sink | to drown,"[{""chinese"": ""我没有时间去看电影。"", ""english"": ""I don't have time to watch a movie.""}, {""chinese"": ""他昨天没来上班。"", ""english"": ""He didn't come to work yesterday.""}, {""chinese"": ""这件衣服的纽扣没了。"", ""english"": ""The button on this piece of clothing is gone.""}]","[{""word"": ""没关系"", ""pinyin"": ""méiguānxi"", ""meaning"": ""it doesn't matter / never mind""}, {""word"": ""没办法"", ""pinyin"": ""méibànfǎ"", ""meaning"": ""there's no way / helpless""}, {""word"": ""没错"", ""pinyin"": ""méicuò"", ""meaning"": ""that's right / correct""}]"
31,很,很,,hěn,,,hen3,,,60,1,,quite | very | awfully,"[{""chinese"": ""这家餐厅的食物很好吃。"", ""english"": ""The food at this restaurant is very delicious.""}, {""chinese"": ""今天天气很冷。"", ""english"": ""It's very cold today.""}, {""chinese"": ""她的汉语说得很流利。"", ""english"": ""She speaks Chinese very fluently.""}]","[{""word"": ""很多"", ""pinyin"": ""hěnduō"", ""meaning"": ""many / a lot of""}, {""word"": ""很快"", ""pinyin"": ""hěnkuài"", ""meaning"": ""very quickly / very soon""}, {""word"": ""很少"", ""pinyin"": ""hěnshǎo"", ""meaning"": ""very little / rarely""}]"
32,好,好,,hǎo,hào,,hao3,hao4,,38,1,,good | excellent | fine | proper | suitable | well,"[{""chinese"": ""这个主意不太好。"", ""english"": ""This idea isn't very good.""}, {""chinese"": ""好吧，我同意你的计划。"", ""english"": ""Okay, I agree with your plan.""}, {""chinese"": ""睡眠充足对身体很好。"", ""english"": ""Getting enough sleep is good for your body.""}]","[{""word"": ""好的"", ""pinyin"": ""hǎo de"", ""meaning"": ""okay / alright / good""}, {""word"": ""好奇"", ""pinyin"": ""hàoqī"", ""meaning"": ""curious""}, {""word"": ""好友"", ""pinyin"": ""hǎoyou"", ""meaning"": ""good friend / close friend""}]"
33,中,中,,zhōng,zhòng,,zhong1,zhong4,,2,1,,middle | center | central | amidst | to hit (target) | to be afflicted with,"[{""chinese"": ""中国位于亚洲的中东部。"", ""english"": ""China is located in central-eastern Asia.""}, {""chinese"": ""他在考试中得了满分。"", ""english"": ""He got a perfect score in the exam.""}, {""chinese"": ""我在超市中碰见了老朋友。"", ""english"": ""I ran into an old friend in the supermarket.""}]","[{""word"": ""中文"", ""pinyin"": ""zhōngwén"", ""meaning"": ""Chinese language""}, {""word"": ""中午"", ""pinyin"": ""zhōngwǔ"", ""meaning"": ""noon / midday""}, {""word"": ""中间"", ""pinyin"": ""zhōngjiān"", ""meaning"": ""middle / between / amid""}]"
34,年,年,年,nián,,,nian2,,,51,1,,year | anniversary | a person's age,"[{""chinese"": ""今年是2024年。"", ""english"": ""This year is 2024.""}, {""chinese"": ""他今年三十岁了。"", ""english"": ""He is thirty years old this year.""}, {""chinese"": ""去年我去过北京。"", ""english"": ""I went to Beijing last year.""}]","[{""word"": ""今年"", ""pinyin"": ""jīnnián"", ""meaning"": ""this year""}, {""word"": ""去年"", ""pinyin"": ""qùnián"", ""meaning"": ""last year""}, {""word"": ""新年"", ""pinyin"": ""xīnnián"", ""meaning"": ""New Year""}]"
35,大,大,,dà,,,da4,,,37,1,,big | great | vast | high | deep,"[{""chinese"": ""这间房子很大。"", ""english"": ""This house is very big.""}, {""chinese"": ""她有个很大的梦想。"", ""english"": ""She has a very big dream.""}, {""chinese"": ""大雨来了。"", ""english"": ""Heavy rain is coming.""}]","[{""word"": ""大家"", ""pinyin"": ""dàjiā"", ""meaning"": ""everyone / everybody""}, {""word"": ""大学"", ""pinyin"": ""dàxué"", ""meaning"": ""university / college""}, {""word"": ""大小"", ""pinyin"": ""dàxiǎo"", ""meaning"": ""size / big and small""}]"
36,给,給,,gěi,jǐ,,gei3,ji3,,120,1,,to give | to lend | for | by | to hand over,"[{""chinese"": ""你能给我一个建议吗？"", ""english"": ""Can you give me some advice?""}, {""chinese"": ""这是我给你的礼物。"", ""english"": ""This is a gift I'm giving you.""}, {""chinese"": ""请给我倒杯水。"", ""english"": ""Please pour me a glass of water.""}]","[{""word"": ""给予"", ""pinyin"": ""gěiyǔ"", ""meaning"": ""to give / to grant / to provide""}, {""word"": ""供给"", ""pinyin"": ""gōnggěi"", ""meaning"": ""to supply / supply""}, {""word"": ""分给"", ""pinyin"": ""fēngěi"", ""meaning"": ""to distribute / to allocate""}]"
37,从,從,,cóng,,,cong2,,,9,1,,from | since | through | via | by way of,"[{""chinese"": ""我从北京坐火车来。"", ""english"": ""I came by train from Beijing.""}, {""chinese"": ""从明天开始，我要早起。"", ""english"": ""Starting from tomorrow, I'll wake up early.""}, {""chinese"": ""这条路从市中心经过。"", ""english"": ""This road goes through the city center.""}]","[{""word"": ""从前"", ""pinyin"": ""cóngqián"", ""meaning"": ""once upon a time / formerly / in the past""}, {""word"": ""从来"", ""pinyin"": ""cónglái"", ""meaning"": ""always / never (in negative sentences)""}, {""word"": ""从此"", ""pinyin"": ""cóngcǐ"", ""meaning"": ""from now on / from then on / henceforth""}]"
38,看,看,,kàn,kān,,kan4,kan1,,109,1,,to look | to see | to watch | to examine | to view,"[{""chinese"": ""你在看什么电影？"", ""english"": ""What movie are you watching?""}, {""chinese"": ""医生给我看了一下。"", ""english"": ""The doctor examined me.""}, {""chinese"": ""从这里看，风景很美。"", ""english"": ""The scenery looks beautiful from here.""}]","[{""word"": ""看见"", ""pinyin"": ""kànjiàn"", ""meaning"": ""to see / to catch sight of""}, {""word"": ""看法"", ""pinyin"": ""kànfǎ"", ""meaning"": ""opinion / viewpoint""}, {""word"": ""好看"", ""pinyin"": ""hǎokàn"", ""meaning"": ""good-looking / beautiful / attractive""}]"
39,去,去,,qù,,,qu4,,,28,1,,to go | to go to | to leave | past (as in last year),"[{""chinese"": ""我们明天去公园。"", ""english"": ""We're going to the park tomorrow.""}, {""chinese"": ""这个问题很难解决，我也无法去做。"", ""english"": ""This problem is difficult to solve, and I can't deal with it either.""}, {""chinese"": ""去年的天气很好。"", ""english"": ""The weather was nice last year.""}]","[{""word"": ""去年"", ""pinyin"": ""qùnián"", ""meaning"": ""last year""}, {""word"": ""去世"", ""pinyin"": ""qùshì"", ""meaning"": ""to pass away / to die""}, {""word"": ""下去"", ""pinyin"": ""xiàqù"", ""meaning"": ""to go down / to continue""}]"
40,能,能,,néng,,,neng2,,,74,1,,can; to be able to; capable; competent; energy,"[{""chinese"": ""我能帮你解决这个问题。"", ""english"": ""I can help you solve this problem.""}, {""chinese"": ""他很能干，工作效率特别高。"", ""english"": ""He's very capable and works very efficiently.""}, {""chinese"": ""这个计划可能成功吗？"", ""english"": ""Is it possible for this plan to succeed?""}]","[{""word"": ""能力"", ""pinyin"": ""néngglì"", ""meaning"": ""ability; capability; competence""}, {""word"": ""能源"", ""pinyin"": ""négyuán"", ""meaning"": ""energy; power source""}, {""word"": ""尽能"", ""pinyin"": ""jìnnéng"", ""meaning"": ""as much as possible; to the best of one's ability""}]"
41,两,兩,,liǎng,,,liang3,,,1,1,,two; both; pair; couple; Chinese unit of weight (50 grams),"[{""chinese"": ""他们两个人昨天一起去了电影院。"", ""english"": ""The two of them went to the cinema together yesterday.""}, {""chinese"": ""这件事有两种不同的看法。"", ""english"": ""There are two different perspectives on this matter.""}, {""chinese"": ""我在两份工作之间犹豫不决。"", ""english"": ""I'm torn between two job offers.""}]","[{""word"": ""两个"", ""pinyin"": ""liǎnggè"", ""meaning"": ""two (items); a couple of""}, {""word"": ""两次"", ""pinyin"": ""liǎngcì"", ""meaning"": ""twice; two times""}, {""word"": ""两边"", ""pinyin"": ""liǎngbiān"", ""meaning"": ""both sides; either side""}]"
42,下,下,,xià,xià,,xia4,xia4,,1,1,,below; under; down; next; inferior; to put down; to descend,"[{""chinese"": ""楼下有一个超市。"", ""english"": ""There's a supermarket downstairs.""}, {""chinese"": ""下雨了，我们得取消户外活动。"", ""english"": ""It's raining, so we have to cancel the outdoor activity.""}, {""chinese"": ""会议将在下周三进行。"", ""english"": ""The meeting will be held next Wednesday.""}]","[{""word"": ""下来"", ""pinyin"": ""xiàlái"", ""meaning"": ""to come down; to get down""}, {""word"": ""下午"", ""pinyin"": ""xiàwǔ"", ""meaning"": ""afternoon""}, {""word"": ""下去"", ""pinyin"": ""xiàqù"", ""meaning"": ""to go down; to descend""}]"
